UID          PID    PPID  C STIME TTY          TIME CMD
dragong     2125    2098  0 14:47 ?        00:00:08 /usr/share/code/code --ms-enable-electron-run-as-node /usr/share/code/resources/app/out/bootstrap-fork --type=ptyHost --logsPath /home/dragong/.config/Code/logs/20220716T144736
dragong     2160    2098  0 14:47 ?        00:00:00 /usr/share/code/code --ms-enable-electron-run-as-node /usr/share/code/resources/app/out/bootstrap-fork --type=fileWatcher
dragong     2183    2099  0 14:47 ?        00:00:03 /home/dragong/.vscode/extensions/ms-vscode.cpptools-1.10.8-linux-x64/bin/cpptools
dragong     2374    1451  0 14:48 ?        00:00:00 /usr/libexec/gvfsd-metadata
dragong     2377    1656  0 14:48 ?        00:00:00 update-notifier
root        4219       2  0 15:01 ?        00:00:00 [kworker/3:2-mm_percpu_wq]
root        4326       2  0 15:07 ?        00:00:00 [kworker/3:1-events]
dragong     4522    1451  0 15:13 ?        00:00:00 /home/dragong/.vscode/extensions/ms-vscode.cpptools-1.10.8-linux-x64/bin/cpptools-srv 2183 {D30C0D0A-14C3-423A-9A38-24FBAAC06BD1}
root        4740       2  0 15:16 ?        00:00:00 [kworker/u256:1-events_unbound]
root        4741       2  0 15:16 ?        00:00:00 [kworker/0:0]
dragong     5058    2125  0 15:23 pts/0    00:00:00 /usr/bin/bash
dragong     5097    2125  0 15:23 pts/1    00:00:00 /usr/bin/bash
root        5467       2  0 15:27 ?        00:00:00 [kworker/u256:0-ext4-rsv-conversion]
dragong     5486    5058  0 15:28 pts/0    00:00:00 /home/dragong/Desktop/cyl-120L030309/week01/helloworld
dragong     5535    2125  0 15:29 ?        00:00:00 /bin/sh -c "/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh" 5097
dragong     5536    5535  0 15:29 ?        00:00:00 /bin/bash /usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh 5097
dragong     5537    5097  0 15:29 pts/1    00:00:00 sh kill.sh
dragong     5539    5537  0 15:29 pts/1    00:00:00 ps -ef
